subject,condition,roc_auc_csp,roc_auc_riemann,paired_difference_csp_minus_riemann
37,dropout_0.1,0.413,0.428,-0.015000000000000013
37,dropout_0.2,0.414,0.485,-0.07100000000000001
37,dropout_0.3,0.444,0.442,0.0020000000000000018
37,dropout_0.5,0.3989999999999999,0.445,-0.046000000000000096
37,clean,0.38,0.45,-0.07
37,motor_core,0.47,0.38,0.08999999999999997
37,motor_extended,0.2999999999999999,0.35,-0.0500000000000001
37,region_midline_motor_strip,0.4599999999999999,0.4599999999999999,0.0
37,region_left_motor_strip,0.37,0.4599999999999999,-0.08999999999999991
37,region_right_motor_strip,0.38,0.49,-0.10999999999999999
38,dropout_0.1,0.466,0.525,-0.059
38,dropout_0.2,0.4039999999999999,0.492,-0.08800000000000008
38,dropout_0.3,0.466,0.536,-0.07
38,dropout_0.5,0.46,0.535,-0.07500000000000001
38,clean,0.4599999999999999,0.51,-0.0500000000000001
38,motor_core,0.37,0.48,-0.10999999999999999
38,motor_extended,0.2799999999999999,0.39,-0.1100000000000001
38,region_midline_motor_strip,0.4,0.51,-0.10999999999999999
38,region_left_motor_strip,0.42,0.5900000000000001,-0.1700000000000001
38,region_right_motor_strip,0.43,0.5599999999999999,-0.12999999999999995
39,dropout_0.1,0.5775,0.606,-0.02849999999999997
39,dropout_0.2,0.5720000000000001,0.655,-0.08299999999999996
39,dropout_0.3,0.58,0.649,-0.06900000000000006
39,dropout_0.5,0.565,0.638,-0.07300000000000006
39,clean,0.6300000000000001,0.6,0.030000000000000138
39,motor_core,0.37,0.41,-0.03999999999999998
39,motor_extended,0.51,0.63,-0.12
39,region_midline_motor_strip,0.79,0.63,0.16000000000000003
39,region_left_motor_strip,0.53,0.6199999999999999,-0.08999999999999986
39,region_right_motor_strip,0.5900000000000001,0.58,0.01000000000000012
40,dropout_0.1,0.8225,0.552,0.27049999999999996
40,dropout_0.2,0.7204999999999999,0.491,0.22949999999999993
40,dropout_0.3,0.6629999999999999,0.477,0.18599999999999994
40,dropout_0.5,0.5725,0.436,0.1365
40,clean,0.82,0.63,0.18999999999999995
40,motor_core,0.4899999999999999,0.54,-0.050000000000000155
40,motor_extended,0.54,0.52,0.020000000000000018
40,region_midline_motor_strip,0.85,0.71,0.14
40,region_left_motor_strip,0.8300000000000001,0.67,0.16000000000000003
40,region_right_motor_strip,0.8400000000000001,0.74,0.10000000000000009
41,dropout_0.1,0.5205,0.55,-0.02950000000000008
41,dropout_0.2,0.5595,0.481,0.07850000000000001
41,dropout_0.3,0.519,0.465,0.05399999999999999
41,dropout_0.5,0.505,0.4,0.10499999999999998
41,clean,0.5900000000000001,0.6399999999999999,-0.04999999999999982
41,motor_core,0.52,0.5599999999999999,-0.039999999999999925
41,motor_extended,0.65,0.73,-0.07999999999999996
41,region_midline_motor_strip,0.52,0.63,-0.10999999999999999
41,region_left_motor_strip,0.48,0.52,-0.040000000000000036
41,region_right_motor_strip,0.43,0.51,-0.08000000000000002
42,dropout_0.1,0.8275,0.951,-0.12349999999999994
42,dropout_0.2,0.6765000000000001,0.89,-0.2134999999999999
42,dropout_0.3,0.7304999999999999,0.853,-0.12250000000000005
42,dropout_0.5,0.6385000000000001,0.69,-0.05149999999999988
42,clean,0.97,0.99,-0.020000000000000018
42,motor_core,0.9,0.92,-0.020000000000000018
42,motor_extended,0.98,0.98,0.0
42,region_midline_motor_strip,0.82,0.96,-0.14
42,region_left_motor_strip,0.9,0.8699999999999999,0.030000000000000138
42,region_right_motor_strip,0.92,0.89,0.030000000000000027
43,dropout_0.1,0.8220000000000001,0.85,-0.027999999999999914
43,dropout_0.2,0.745,0.7829999999999999,-0.03799999999999992
43,dropout_0.3,0.6809999999999999,0.7120000000000001,-0.03100000000000014
43,dropout_0.5,0.6459999999999999,0.648,-0.002000000000000113
43,clean,0.95,0.8699999999999999,0.08000000000000007
43,motor_core,0.8800000000000001,0.9,-0.019999999999999907
43,motor_extended,0.8300000000000001,0.98,-0.1499999999999999
