condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
region_dropout_right_motor_strip_0.140625,roc_auc,primary,109,-0.06138379204892968,-0.08333958090302673,-0.039428003194832625,-0.04499999999999993,-0.06999999999999995,-0.029999999999999916,-0.5308026488048969,medium,74,0.6788990825688074,29,0.26605504587155965,1.2846309874961955e-05,fdr_significant_ttest
channel_dropout_0.1,balanced_accuracy,secondary,109,-0.09421100917431194,-0.11631275954730336,-0.07210925880132052,-0.08550000000000002,-0.124,-0.0645,-0.809288556616009,large,86,0.7889908256880734,23,0.21100917431192662,1.7267513425291263e-09,fdr_significant_ttest
channel_dropout_0.2,balanced_accuracy,secondary,109,-0.10703975535168195,-0.13192008564886493,-0.08215942505449897,-0.08850000000000002,-0.121,-0.0685,-0.8168031037795755,large,84,0.7706422018348624,25,0.22935779816513763,1.8239404848984447e-08,fdr_significant_ttest
channel_dropout_0.3,balanced_accuracy,secondary,109,-0.11181651376146788,-0.1374329771557436,-0.08620005036719218,-0.09150000000000008,-0.12250000000000005,-0.0704999999999999,-0.8287340629729454,large,85,0.7798165137614679,24,0.22018348623853212,5.7351736329298266e-09,fdr_significant_ttest
channel_dropout_0.5,balanced_accuracy,secondary,109,-0.11458715596330275,-0.14078698363732484,-0.08838732828928067,-0.09699999999999998,-0.124,-0.07099999999999995,-0.8303590410521529,large,83,0.7614678899082569,25,0.22935779816513763,2.711424674746483e-08,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,balanced_accuracy,secondary,109,-0.007217125382262994,-0.03172981822013255,0.017295567455606564,-0.004999999999999893,-0.040000000000000036,0.020000000000000018,-0.055898691279691784,negligible,55,0.5045871559633027,53,0.48623853211009177,0.923401037594597,descriptive_or_not_fdr_significant
reduced_montage_motor_extended,balanced_accuracy,secondary,109,0.011391437308868506,-0.010362083805110235,0.033144958422847245,0.014999999999999902,-0.02499999999999991,0.03500000000000003,0.09942082756395682,negligible,46,0.42201834862385323,61,0.5596330275229358,0.1859720541298729,descriptive_or_not_fdr_significant
region_dropout_left_motor_strip_0.140625,balanced_accuracy,secondary,109,-0.08750764525993883,-0.11041276365157568,-0.06460252686830198,-0.07500000000000007,-0.10999999999999999,-0.050000000000000044,-0.7253404038188324,medium,80,0.7339449541284404,26,0.23853211009174313,1.9757968253893528e-07,non_normal_delta_check_wilcoxon
region_dropout_midline_motor_strip_0.046875,balanced_accuracy,secondary,109,-0.08698776758409786,-0.10864184331052346,-0.06533369185767227,-0.07499999999999996,-0.10499999999999998,-0.04500000000000004,-0.7626880596344378,medium,84,0.7706422018348624,22,0.2018348623853211,1.7431353167214571e-09,non_normal_delta_check_wilcoxon
region_dropout_right_motor_strip_0.140625,balanced_accuracy,secondary,109,-0.08983180428134556,-0.11200639097998617,-0.06765721758270495,-0.08499999999999996,-0.10499999999999998,-0.05500000000000005,-0.7691357562863353,medium,86,0.7889908256880734,20,0.1834862385321101,1.3115397305230125e-10,fdr_significant_ttest
