dataset,subject,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.2,,,,0.7391243417700016,0.5383990147783251,0.39586376297783377,0.38792689731460983,22,4.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.3,,,,0.683577373874639,0.5138054187192118,0.42927372479653864,0.42151633797413424,22,7.0
BNCI2014-001,6,riemann_lr,channel_dropout,all_channels,0.5,,,,0.6047851197553933,0.5033497536945812,0.43408800071569575,0.4193253498618867,22,11.0
BNCI2014-001,6,riemann_lr,clean,all_channels,0.0,,,,0.8465347375573297,0.7532019704433497,0.16139667776143166,0.11478723825261608,22,0.0
BNCI2014-001,6,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.8103780864197532,0.7222222222222222,0.18516388181408502,0.09032832860237959,22,0.0
BNCI2014-001,6,riemann_lr,reduced_montage,motor_core,0.0,,,,0.6936215389842025,0.6422413793103449,0.22702871459203733,0.12321325185574386,3,0.0
BNCI2014-001,6,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.791268897570919,0.7008620689655173,0.1905405331089777,0.1453489507307534,9,0.0
BNCI2014-001,6,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.8107270256497368,0.506896551724138,0.4441767123469956,0.4543444557461841,22,3.0
BNCI2014-001,6,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.7252335654832682,0.5098522167487685,0.4358027725750458,0.4333028545454349,22,7.0
BNCI2014-001,6,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.6738746390351623,0.5,0.49359721271784424,0.49627430384731097,22,7.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.1,,,,0.8958501783590964,0.6197536945812808,0.2834098479899991,0.31234651486950404,22,2.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.2,,,,0.84589774078478,0.5361083743842364,0.40550096173355293,0.417531153215645,22,4.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.3,,,,0.7839646679123493,0.5123891625615764,0.43626477043360923,0.44067865245467636,22,7.0
BNCI2014-001,7,riemann_lr,channel_dropout,all_channels,0.5,,,,0.7342220146084593,0.5138793103448276,0.4393883958426336,0.43335703218716115,22,11.0
BNCI2014-001,7,riemann_lr,clean,all_channels,0.0,,,,0.9423560387294037,0.8780788177339902,0.1101013690384424,0.16714018179165963,22,0.0
BNCI2014-001,7,riemann_lr,cross_session,all_channels,0.0,,0train,1test,0.9126157407407408,0.5833333333333334,0.22254845367011467,0.26911450207050575,22,0.0
BNCI2014-001,7,riemann_lr,reduced_montage,motor_core,0.0,,,,0.7024290810259894,0.6215517241379309,0.21999722396328134,0.14546824743524234,3,0.0
BNCI2014-001,7,riemann_lr,reduced_montage,motor_extended,0.0,,,,0.7955240360115509,0.7363300492610837,0.1883139726541611,0.12363646119684564,9,0.0
BNCI2014-001,7,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,0.9273568880584339,0.5248768472906404,0.3698834782918715,0.4071819168463036,22,3.0
BNCI2014-001,7,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,0.8494224562595549,0.5,0.48422926184166293,0.48934163223547333,22,7.0
BNCI2014-001,7,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,0.7556735179208425,0.5,0.4999915343736846,0.49999416824879306,22,7.0
BNCI2014-001,8,riemann_lr,channel_dropout,all_channels,0.1,,,,0.9872795991166978,0.7461945812807882,0.20068963947297574,0.26423753712137055,22,2.0
