dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,protocol_version,mask_seed_scope,selected_channels,region,dropped_channels,session_train,session_test,run_signature
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,0,22,2,0.5,0.9239001189060643,0.49996976743879823,0.4999848319594705,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,1,22,2,0.5,0.7621878715814506,0.49999999128616984,0.49999999502842135,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,2,22,2,0.5,0.9274673008323425,0.49213704445702744,0.49550555168870575,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,3,22,2,0.5,0.8466111771700356,0.4897528485616876,0.4944833124878723,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,4,22,2,0.5,0.727705112960761,0.4983160871857569,0.49904707730302433,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,5,22,2,0.8103448275862069,0.9560047562425684,0.10964715327009554,0.14948146826908362,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,6,22,2,0.5,0.7669441141498217,0.49999995708509876,0.49999997371727545,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,7,22,2,0.5,0.8692033293697978,0.44592420997231175,0.4651449677416973,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,8,22,2,0.5,0.9346016646848989,0.4953203465873225,0.49751633880750695,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
BNCI2014-001,1,csp_lda,channel_dropout,all_channels,2,0.1,9,22,2,0.5,0.7384066587395957,0.4999999178083587,0.4999999572761089,0.3.2,participant,,,,,,a5508b68efe858976affddc55ddec1d52be0d4e3724ba6ec227b70b4157f5ac0
