subject,clean_auc,auc_at_50pct_dropout,worst_dropout_delta_auc,clean_working,dropout_failure_at_50pct,best_montage,best_montage_auc,best_montage_gain_vs_clean,risk_level
101,0.3,0.337,0.008000000000000007,False,False,motor_core,0.51,0.21000000000000002,low_clean_performance
104,0.5625,0.3445,-0.21800000000000003,False,False,motor_extended,0.55,-0.012499999999999956,low_clean_performance
106,0.41,0.471,-0.032000000000000084,False,False,motor_core,0.5900000000000001,0.1800000000000001,low_clean_performance
109,0.38,0.47,0.017000000000000015,False,False,motor_core,0.39,0.010000000000000009,low_clean_performance
1,0.92,0.6920000000000001,-0.22799999999999998,True,False,motor_extended,0.92,0.0,moderate_fragility
2,0.93,0.657,-0.273,True,False,motor_extended,0.91,-0.020000000000000018,moderate_fragility
22,0.92,0.6579999999999999,-0.2620000000000001,True,False,motor_core,0.63,-0.29000000000000004,moderate_fragility
26,0.82,0.6,-0.21999999999999997,True,False,motor_extended,0.91,0.09000000000000008,moderate_fragility
29,0.99,0.774,-0.21599999999999997,True,False,motor_extended,1.0,0.010000000000000009,moderate_fragility
32,0.96,0.7140000000000001,-0.24599999999999989,True,False,motor_extended,0.91,-0.04999999999999993,moderate_fragility
35,0.8800000000000001,0.649,-0.2310000000000001,True,False,motor_extended,0.8,-0.08000000000000007,moderate_fragility
42,0.99,0.6990000000000001,-0.2909999999999999,True,False,motor_extended,0.98,-0.010000000000000009,moderate_fragility
43,0.8699999999999999,0.633,-0.23699999999999988,True,False,motor_extended,0.98,0.1100000000000001,moderate_fragility
49,0.95,0.711,-0.239,True,False,motor_extended,0.91,-0.039999999999999925,moderate_fragility
52,0.9,0.634,-0.266,True,False,motor_extended,0.9,0.0,moderate_fragility
55,1.0,0.773,-0.22699999999999998,True,False,motor_core,0.96,-0.040000000000000036,moderate_fragility
70,0.95,0.736,-0.21399999999999997,True,False,motor_extended,0.86,-0.08999999999999997,moderate_fragility
85,0.93,0.691,-0.2390000000000001,True,False,motor_core,0.99,0.05999999999999994,moderate_fragility
94,0.96,0.674,-0.2859999999999999,True,False,motor_extended,0.96,0.0,moderate_fragility
96,0.86,0.653,-0.20699999999999996,True,False,motor_extended,0.5599999999999999,-0.30000000000000004,moderate_fragility
4,0.8099999999999999,0.611,-0.19899999999999995,True,False,motor_extended,0.8099999999999999,0.0,stable_in_dev_run
7,1.0,0.831,-0.16900000000000004,True,False,motor_extended,1.0,0.0,stable_in_dev_run
12,0.8,0.706,-0.09400000000000008,True,False,motor_extended,0.78,-0.020000000000000018,stable_in_dev_run
13,0.6900000000000001,0.6030000000000001,-0.08699999999999997,True,False,motor_extended,0.8,0.10999999999999999,stable_in_dev_run
31,0.8300000000000001,0.68,-0.15000000000000002,True,False,motor_extended,0.94,0.10999999999999988,stable_in_dev_run
34,0.96,0.807,-0.1529999999999999,True,False,motor_core,0.99,0.030000000000000027,stable_in_dev_run
39,0.6,0.648,0.006000000000000005,True,False,motor_extended,0.63,0.030000000000000027,stable_in_dev_run
44,0.67,0.621,-0.052000000000000046,True,False,motor_extended,0.78,0.10999999999999999,stable_in_dev_run
48,0.86,0.696,-0.16400000000000003,True,False,motor_extended,0.78,-0.07999999999999996,stable_in_dev_run
53,0.93,0.769,-0.16100000000000003,True,False,motor_extended,0.6900000000000001,-0.24,stable_in_dev_run
54,0.9,0.7440000000000001,-0.15599999999999992,True,False,motor_core,0.8800000000000001,-0.019999999999999907,stable_in_dev_run
56,0.99,0.917,-0.07299999999999995,True,False,motor_extended,0.93,-0.05999999999999994,stable_in_dev_run
60,0.94,0.815,-0.125,True,False,motor_extended,0.95,0.010000000000000009,stable_in_dev_run
62,0.95,0.764,-0.18599999999999994,True,False,motor_extended,0.99,0.040000000000000036,stable_in_dev_run
72,0.97,0.8210000000000001,-0.1489999999999999,True,False,motor_extended,0.94,-0.030000000000000027,stable_in_dev_run
93,0.92,0.7260000000000001,-0.19399999999999995,True,False,motor_extended,0.95,0.029999999999999916,stable_in_dev_run
97,0.76,0.687,-0.07400000000000007,True,False,motor_extended,0.76,0.0,stable_in_dev_run
102,0.76,0.652,-0.10799999999999998,True,False,motor_extended,0.85,0.08999999999999997,stable_in_dev_run
108,0.93,0.7410000000000001,-0.18899999999999995,True,False,motor_extended,0.91,-0.020000000000000018,stable_in_dev_run
