dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,region,dropped_channels,session_train,session_test
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,2,22,2,0.896551724137931,0.9357907253269917,0.10395076047806687,0.11511123305268137,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,3,22,2,0.5,0.9262782401902497,0.4893268504779644,0.49426986675594214,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,4,22,2,0.8620689655172413,0.925089179548157,0.10975696107098322,0.11159683244607822,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,5,22,2,0.5,0.9417360285374553,0.45085179024566063,0.47149348642599354,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,6,22,2,0.8793103448275862,0.9203329369797859,0.11194380547228125,0.11733875779394079,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,7,22,2,0.7931034482758621,0.9143876337693222,0.1307920073136092,0.1540030141742564,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,8,22,2,0.5517241379310345,0.9286563614744352,0.3137445803046283,0.3710956278663178,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.1,9,22,2,0.6551724137931034,0.9239001189060642,0.24310670468969253,0.29301263103746344,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,0,22,4,0.5,0.9274673008323424,0.49937515861364484,0.499658633586782,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,1,22,4,0.5,0.934601664684899,0.49964425492905384,0.49980490349525275,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,2,22,4,0.5,0.9143876337693222,0.49328416958161525,0.496234928282674,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,3,22,4,0.5,0.93935790725327,0.3965788893306689,0.4348459242906161,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,4,22,4,0.6551724137931034,0.929845422116528,0.24556041331015432,0.2928006409475144,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,5,22,4,0.5,0.9203329369797859,0.4979843182528583,0.4988596303976012,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,6,22,4,0.5,0.9227110582639715,0.49981114244253655,0.49989440541873853,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,7,22,4,0.5,0.9143876337693223,0.4890906695933729,0.4938025227083471,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,8,22,4,0.6379310344827587,0.910820451843044,0.23957325717876266,0.28867554162912484,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.2,9,22,4,0.5,0.93935790725327,0.44727081327576296,0.46889709993153283,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,0,22,7,0.5,0.8810939357907254,0.49223162218549926,0.4952736168805766,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,1,22,7,0.5,0.9155766944114151,0.49950271007574565,0.49970672305414954,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,2,22,7,0.5,0.8882282996432818,0.4983921708315051,0.4989731686069234,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,3,22,7,0.5862068965517242,0.9191438763376932,0.2840798682325047,0.3311458419923458,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,4,22,7,0.5,0.8882282996432818,0.497160017831314,0.4980612062633335,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,5,22,7,0.6896551724137931,0.8489892984542212,0.18920141365404672,0.17075441870694946,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,6,22,7,0.5,0.9096313912009512,0.4999751367998195,0.4999854311692443,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,7,22,7,0.6724137931034483,0.906064209274673,0.1965638369035682,0.2252995269715903,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,8,22,7,0.5,0.8620689655172414,0.37202416146247813,0.4033897366365475,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.3,9,22,7,0.5,0.9048751486325802,0.45043429599425344,0.4678599301891695,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,0,22,11,0.5,0.9036860879904876,0.4832860841369722,0.4891972728884185,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,1,22,11,0.5,0.8323424494649228,0.4993681358146092,0.4995342346947841,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,2,22,11,0.5,0.8703923900118906,0.4990496364713622,0.4992669159280859,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,3,22,11,0.7931034482758621,0.8751486325802617,0.17762667373083704,0.17244032788474378,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,4,22,11,0.5,0.8585017835909632,0.4999981960038542,0.49999876740603866,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,5,22,11,0.5,0.8240190249702735,0.40509863750473757,0.4205367039301187,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,6,22,11,0.5,0.7931034482758621,0.49999546880805024,0.49999627852643413,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,7,22,11,0.5,0.802615933412604,0.4999662343337778,0.4999751996812375,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,8,22,11,0.5,0.8763376932223543,0.49979625109245895,0.49986635569625004,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,3,0.5,9,22,11,0.5,0.8216409036860879,0.49994744032171706,0.49996259429094525,,,,,
BNCI2014-001,1,riemann_lr,clean,all_channels,4,0.0,0,22,0,0.8429802955665024,0.9593596059113301,0.0938029194281622,0.10572305615226316,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,0,22,2,0.5892857142857143,0.9298029556650246,0.2558806630067579,0.30348445338794716,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,1,22,2,0.5357142857142857,0.9100985221674877,0.344974685770948,0.3856585718822893,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,2,22,2,0.8442118226600985,0.9618226600985222,0.10625848218883581,0.15689336140842874,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,3,22,2,0.7068965517241379,0.9544334975369457,0.20799786544524806,0.2658198992316286,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,4,0.1,4,22,2,0.5357142857142857,0.954433497536946,0.4150443454365313,0.44297871595290406,,,,,
