dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,14,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.5,0.5,0.33522737472578207,0.3462790613181525,64,3.0
PhysionetMotorImagery,14,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.51,0.5349999999999999,0.26738936389692325,0.33547156804929534,64,9.0
PhysionetMotorImagery,14,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.53,0.5,0.35206527975365876,0.34641430235482146,64,9.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.1,,0.7710000000000001,0.5615,0.26843436501333334,0.32098858876522135,64,6.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.2,,0.687,0.5205,0.3083530848314492,0.3450419414358744,64,13.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.3,,0.6659999999999999,0.5145000000000001,0.3142551025111711,0.32915896448204196,64,19.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.5,,0.546,0.491,0.3662505284140747,0.37087335860567733,64,32.0
PhysionetMotorImagery,15,riemann_lr,clean,all_channels,0.0,,0.8699999999999999,0.75,0.17205752243592168,0.2825425539709939,64,0.0
PhysionetMotorImagery,15,riemann_lr,reduced_montage,motor_core,0.0,,0.79,0.7,0.21680522324784574,0.25530743461425326,3,0.0
PhysionetMotorImagery,15,riemann_lr,reduced_montage,motor_extended,0.0,,0.9099999999999999,0.8099999999999999,0.17371293260139714,0.29440215602483033,9,0.0
PhysionetMotorImagery,15,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.8300000000000001,0.6799999999999999,0.20521224276055028,0.27261328915931793,64,3.0
PhysionetMotorImagery,15,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.86,0.595,0.2986929472562883,0.3815878902664379,64,9.0
PhysionetMotorImagery,15,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.7,0.52,0.28206601564591666,0.35353185722117364,64,9.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.1,,0.55,0.522,0.2965930108913473,0.3147066805861981,64,6.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.2,,0.475,0.5175,0.3320690926969918,0.3288206603058768,64,13.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.3,,0.538,0.5205,0.3277489350923615,0.33672157023929783,64,19.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.5,,0.5319999999999999,0.504,0.376886865010619,0.38587892602969837,64,32.0
PhysionetMotorImagery,16,riemann_lr,clean,all_channels,0.0,,0.56,0.585,0.2502769916075625,0.28569960236056513,64,0.0
PhysionetMotorImagery,16,riemann_lr,reduced_montage,motor_core,0.0,,0.53,0.53,0.2506655577647212,0.16129896616098519,3,0.0
PhysionetMotorImagery,16,riemann_lr,reduced_montage,motor_extended,0.0,,0.71,0.635,0.22664530711453318,0.21032165659196417,9,0.0
PhysionetMotorImagery,16,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.54,0.54,0.2864928271127781,0.28763150534941206,64,3.0
PhysionetMotorImagery,16,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.51,0.5,0.40637965041575635,0.3964276669219968,64,9.0
PhysionetMotorImagery,16,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.5,0.525,0.304012163352018,0.36764510699606207,64,9.0
