subject,condition,roc_auc_csp,roc_auc_riemann,clean_auc_csp,clean_auc_riemann,change_csp,change_riemann,difference_in_degradation_csp_minus_riemann
10,dropout_0.1,0.5870000000000001,0.537,0.71,0.58,-0.12299999999999989,-0.04299999999999993,-0.07999999999999996
10,dropout_0.2,0.596,0.506,0.71,0.58,-0.11399999999999999,-0.07399999999999995,-0.040000000000000036
10,dropout_0.3,0.53,0.5,0.71,0.58,-0.17999999999999994,-0.07999999999999996,-0.09999999999999998
10,dropout_0.5,0.534,0.482,0.71,0.58,-0.17599999999999993,-0.09799999999999998,-0.07799999999999996
10,motor_core,0.73,0.79,0.71,0.58,0.020000000000000018,0.21000000000000008,-0.19000000000000006
10,motor_extended,0.93,0.8800000000000001,0.71,0.58,0.22000000000000008,0.30000000000000016,-0.08000000000000007
10,region_midline_motor_strip,0.63,0.47,0.71,0.58,-0.07999999999999996,-0.10999999999999999,0.030000000000000027
10,region_left_motor_strip,0.63,0.5700000000000001,0.71,0.58,-0.07999999999999996,-0.009999999999999898,-0.07000000000000006
10,region_right_motor_strip,0.53,0.42,0.71,0.58,-0.17999999999999994,-0.15999999999999998,-0.019999999999999962
11,dropout_0.1,0.631,0.6990000000000001,0.63,0.74,0.0010000000000000009,-0.040999999999999925,0.041999999999999926
11,dropout_0.2,0.5920000000000001,0.632,0.63,0.74,-0.03799999999999992,-0.10799999999999998,0.07000000000000006
11,dropout_0.3,0.626,0.61,0.63,0.74,-0.0040000000000000036,-0.13,0.126
11,dropout_0.5,0.509,0.514,0.63,0.74,-0.121,-0.22599999999999998,0.10499999999999998
11,motor_core,0.4699999999999999,0.4699999999999999,0.63,0.74,-0.1600000000000001,-0.2700000000000001,0.10999999999999999
11,motor_extended,0.39,0.44,0.63,0.74,-0.24,-0.3,0.06
11,region_midline_motor_strip,0.6300000000000001,0.76,0.63,0.74,1.1102230246251565e-16,0.020000000000000018,-0.019999999999999907
11,region_left_motor_strip,0.66,0.8099999999999999,0.63,0.74,0.030000000000000027,0.06999999999999995,-0.039999999999999925
11,region_right_motor_strip,0.7,0.73,0.63,0.74,0.06999999999999995,-0.010000000000000009,0.07999999999999996
12,dropout_0.1,0.407,0.772,0.42,0.8,-0.013000000000000012,-0.028000000000000025,0.015000000000000013
12,dropout_0.2,0.422,0.742,0.42,0.8,0.0020000000000000018,-0.05800000000000005,0.06000000000000005
12,dropout_0.3,0.3879999999999999,0.7390000000000001,0.42,0.8,-0.032000000000000084,-0.06099999999999994,0.02899999999999986
12,dropout_0.5,0.439,0.7140000000000001,0.42,0.8,0.019000000000000017,-0.08599999999999997,0.10499999999999998
12,motor_core,0.64,0.62,0.42,0.8,0.22000000000000003,-0.18000000000000005,0.4000000000000001
12,motor_extended,0.6799999999999999,0.78,0.42,0.8,0.25999999999999995,-0.020000000000000018,0.27999999999999997
12,region_midline_motor_strip,0.4,0.79,0.42,0.8,-0.019999999999999962,-0.010000000000000009,-0.009999999999999953
12,region_left_motor_strip,0.4599999999999999,0.75,0.42,0.8,0.039999999999999925,-0.050000000000000044,0.08999999999999997
12,region_right_motor_strip,0.54,0.78,0.42,0.8,0.12000000000000005,-0.020000000000000018,0.14000000000000007
13,dropout_0.1,0.5539999999999999,0.698,0.63,0.6900000000000001,-0.07600000000000007,0.007999999999999896,-0.08399999999999996
13,dropout_0.2,0.461,0.684,0.63,0.6900000000000001,-0.16899999999999998,-0.006000000000000005,-0.16299999999999998
13,dropout_0.3,0.512,0.6709999999999999,0.63,0.6900000000000001,-0.118,-0.019000000000000128,-0.09899999999999987
13,dropout_0.5,0.489,0.634,0.63,0.6900000000000001,-0.14100000000000001,-0.05600000000000005,-0.08499999999999996
13,motor_core,0.6599999999999999,0.6799999999999999,0.63,0.6900000000000001,0.029999999999999916,-0.01000000000000012,0.040000000000000036
13,motor_extended,0.72,0.8,0.63,0.6900000000000001,0.08999999999999997,0.10999999999999999,-0.020000000000000018
13,region_midline_motor_strip,0.5,0.6900000000000001,0.63,0.6900000000000001,-0.13,0.0,-0.13
13,region_left_motor_strip,0.5,0.5800000000000001,0.63,0.6900000000000001,-0.13,-0.10999999999999999,-0.020000000000000018
13,region_right_motor_strip,0.61,0.65,0.63,0.6900000000000001,-0.020000000000000018,-0.040000000000000036,0.020000000000000018
14,dropout_0.1,0.5455,0.522,0.5,0.52,0.045499999999999985,0.0020000000000000018,0.04349999999999998
14,dropout_0.2,0.535,0.5479999999999999,0.5,0.52,0.03500000000000003,0.027999999999999914,0.007000000000000117
14,dropout_0.3,0.5345,0.51,0.5,0.52,0.034499999999999975,-0.010000000000000009,0.044499999999999984
14,dropout_0.5,0.531,0.6,0.5,0.52,0.031000000000000028,0.07999999999999996,-0.04899999999999993
14,motor_core,0.67,0.6,0.5,0.52,0.17000000000000004,0.07999999999999996,0.09000000000000008
14,motor_extended,0.62,0.65,0.5,0.52,0.12,0.13,-0.010000000000000009
14,region_midline_motor_strip,0.52,0.5,0.5,0.52,0.020000000000000018,-0.020000000000000018,0.040000000000000036
14,region_left_motor_strip,0.49,0.51,0.5,0.52,-0.010000000000000009,-0.010000000000000009,0.0
14,region_right_motor_strip,0.5700000000000001,0.53,0.5,0.52,0.07000000000000006,0.010000000000000009,0.06000000000000005
15,dropout_0.1,0.6585,0.785,0.85,0.8699999999999999,-0.1915,-0.08499999999999985,-0.10650000000000015
15,dropout_0.2,0.5954999999999999,0.7,0.85,0.8699999999999999,-0.25450000000000006,-0.16999999999999993,-0.08450000000000013
15,dropout_0.3,0.5775,0.634,0.85,0.8699999999999999,-0.27249999999999996,-0.23599999999999988,-0.03650000000000009
15,dropout_0.5,0.519,0.555,0.85,0.8699999999999999,-0.33099999999999996,-0.31499999999999984,-0.016000000000000125
15,motor_core,0.82,0.79,0.85,0.8699999999999999,-0.030000000000000027,-0.07999999999999985,0.04999999999999982
15,motor_extended,0.86,0.91,0.85,0.8699999999999999,0.010000000000000009,0.04000000000000015,-0.030000000000000138
15,region_midline_motor_strip,0.76,0.8300000000000001,0.85,0.8699999999999999,-0.08999999999999997,-0.039999999999999813,-0.050000000000000155
15,region_left_motor_strip,0.5800000000000001,0.86,0.85,0.8699999999999999,-0.2699999999999999,-0.009999999999999898,-0.26
15,region_right_motor_strip,0.6,0.7,0.85,0.8699999999999999,-0.25,-0.16999999999999993,-0.08000000000000007
16,dropout_0.1,0.603,0.521,0.5200000000000001,0.56,0.08299999999999985,-0.039000000000000035,0.12199999999999989
16,dropout_0.2,0.595,0.51,0.5200000000000001,0.56,0.07499999999999984,-0.050000000000000044,0.12499999999999989
16,dropout_0.3,0.5720000000000001,0.5419999999999999,0.5200000000000001,0.56,0.051999999999999935,-0.018000000000000127,0.07000000000000006
16,dropout_0.5,0.564,0.546,0.5200000000000001,0.56,0.04399999999999982,-0.014000000000000012,0.05799999999999983
16,motor_core,0.62,0.53,0.5200000000000001,0.56,0.09999999999999987,-0.030000000000000027,0.1299999999999999
16,motor_extended,0.5399999999999999,0.71,0.5200000000000001,0.56,0.019999999999999796,0.1499999999999999,-0.13000000000000012
16,region_midline_motor_strip,0.62,0.54,0.5200000000000001,0.56,0.09999999999999987,-0.020000000000000018,0.11999999999999988
16,region_left_motor_strip,0.54,0.51,0.5200000000000001,0.56,0.019999999999999907,-0.050000000000000044,0.06999999999999995
16,region_right_motor_strip,0.65,0.5,0.5200000000000001,0.56,0.1299999999999999,-0.06000000000000005,0.18999999999999995
17,dropout_0.1,0.456,0.361,0.48,0.42,-0.023999999999999966,-0.059,0.03500000000000003
