dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,14,riemann_lr,channel_dropout,all_channels,0.5,0.547,0.53,0.4169061050764546,0.4077186999864071,64,32.0
PhysionetMotorImagery,14,riemann_lr,clean,all_channels,0.0,0.52,0.5349999999999999,0.2646853209597988,0.2198445190226855,64,0.0
PhysionetMotorImagery,14,riemann_lr,reduced_montage,motor_core,0.0,0.6,0.635,0.2453141353790643,0.1924611025480974,3,0.0
PhysionetMotorImagery,14,riemann_lr,reduced_montage,motor_extended,0.0,0.65,0.6,0.2350263117774797,0.2214020663921529,9,0.0
PhysionetMotorImagery,14,riemann_lr,region_dropout,all_channels,0.046875,0.5,0.5,0.335227374725774,0.3462790613181605,64,3.0
PhysionetMotorImagery,14,riemann_lr,region_dropout,all_channels,0.140625,0.52,0.5175,0.3097273218252954,0.340942935202049,64,9.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.1,0.7710000000000001,0.5615,0.2684343650133334,0.3209885887652208,64,6.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.2,0.687,0.5205,0.3083530848314437,0.3450419414358689,64,13.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.3,0.6659999999999999,0.5145000000000001,0.3142551025111701,0.3291589644820505,64,19.0
PhysionetMotorImagery,15,riemann_lr,channel_dropout,all_channels,0.5,0.546,0.491,0.3662505284141083,0.3708733586057126,64,32.0
PhysionetMotorImagery,15,riemann_lr,clean,all_channels,0.0,0.8699999999999999,0.75,0.172057522435922,0.2825425539709945,64,0.0
PhysionetMotorImagery,15,riemann_lr,reduced_montage,motor_core,0.0,0.79,0.7,0.2168052232478458,0.2553074346142533,3,0.0
PhysionetMotorImagery,15,riemann_lr,reduced_montage,motor_extended,0.0,0.91,0.8099999999999999,0.173712932601397,0.2944021560248305,9,0.0
PhysionetMotorImagery,15,riemann_lr,region_dropout,all_channels,0.046875,0.8300000000000001,0.6799999999999999,0.2052122427605517,0.2726132891593142,64,3.0
PhysionetMotorImagery,15,riemann_lr,region_dropout,all_channels,0.140625,0.78,0.5575,0.2903794814511034,0.3675598737438038,64,9.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.1,0.55,0.522,0.2965930108913552,0.3147066805861989,64,6.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.2,0.475,0.5175,0.3320690926969928,0.3288206603058738,64,13.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.3,0.538,0.5205,0.3277489350923251,0.3367215702392671,64,19.0
PhysionetMotorImagery,16,riemann_lr,channel_dropout,all_channels,0.5,0.5319999999999999,0.504,0.3768868650106332,0.385878926029696,64,32.0
PhysionetMotorImagery,16,riemann_lr,clean,all_channels,0.0,0.56,0.585,0.2502769916075628,0.285699602360565,64,0.0
PhysionetMotorImagery,16,riemann_lr,reduced_montage,motor_core,0.0,0.53,0.53,0.2506655577647206,0.1612989661609827,3,0.0
PhysionetMotorImagery,16,riemann_lr,reduced_montage,motor_extended,0.0,0.71,0.635,0.2266453071145329,0.2103216565919644,9,0.0
PhysionetMotorImagery,16,riemann_lr,region_dropout,all_channels,0.046875,0.54,0.54,0.2864928271127838,0.2876315053494208,64,3.0
PhysionetMotorImagery,16,riemann_lr,region_dropout,all_channels,0.140625,0.505,0.5125,0.3551959068838901,0.3820363869590321,64,9.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.1,0.371,0.485,0.3542799103623903,0.3540403905912443,64,6.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.2,0.321,0.4895,0.3947593676869995,0.3699754518328118,64,13.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.3,0.351,0.4855,0.3852102315576097,0.3602298733460969,64,19.0
PhysionetMotorImagery,17,riemann_lr,channel_dropout,all_channels,0.5,0.314,0.483,0.3923537497999344,0.3804236365005942,64,32.0
PhysionetMotorImagery,17,riemann_lr,clean,all_channels,0.0,0.42,0.38,0.3129159633753807,0.344783530463242,64,0.0
PhysionetMotorImagery,17,riemann_lr,reduced_montage,motor_core,0.0,0.37,0.45,0.268076795206308,0.1558851950936646,3,0.0
PhysionetMotorImagery,17,riemann_lr,reduced_montage,motor_extended,0.0,0.35,0.385,0.2889093749077871,0.2744895035994391,9,0.0
PhysionetMotorImagery,17,riemann_lr,region_dropout,all_channels,0.046875,0.39,0.48,0.3329540555364935,0.3517696062265923,64,3.0
PhysionetMotorImagery,17,riemann_lr,region_dropout,all_channels,0.140625,0.41,0.445,0.3481906415151732,0.3738097283551446,64,9.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.1,0.522,0.502,0.3140569774422729,0.3227746131944136,64,6.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.2,0.523,0.512,0.3289145974216951,0.3405478201584722,64,13.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.3,0.477,0.5005,0.3185568257441294,0.2838169066618325,64,19.0
PhysionetMotorImagery,18,riemann_lr,channel_dropout,all_channels,0.5,0.51,0.5045000000000001,0.3482665038792272,0.3297161497487,64,32.0
PhysionetMotorImagery,18,riemann_lr,clean,all_channels,0.0,0.5800000000000001,0.485,0.2607780521047173,0.2731439264894119,64,0.0
PhysionetMotorImagery,18,riemann_lr,reduced_montage,motor_core,0.0,0.26,0.36,0.2660221145082848,0.200316295512411,3,0.0
PhysionetMotorImagery,18,riemann_lr,reduced_montage,motor_extended,0.0,0.35,0.36,0.2692091197609777,0.2463848236345509,9,0.0
PhysionetMotorImagery,18,riemann_lr,region_dropout,all_channels,0.046875,0.54,0.515,0.2804600557475262,0.2330698215375103,64,3.0
PhysionetMotorImagery,18,riemann_lr,region_dropout,all_channels,0.140625,0.51,0.495,0.2727004852248662,0.2624142801266414,64,9.0
